ANSTO ID,ID,Phase,Context,Species,δ13C,Adjusted δ13C,values,mean_depth,max_depth,min_depth,phase_chr,square,spit,Elevation,depth_below_ground_surface,depth_by_context
SI6066,MJB389,4,C2/27A,Pandanus sp.,-26.4,-29.201000000000001,-29.201,1.375,1.5,1.25,Phase 4,C2,27A,99.0663175,1.6268955000000005,1.4424186943746722
SI6073,MJB396,7,C3/6,Pandanus sp.,-27.2,-29.532,-29.532,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,6,100.48139978260869,0.2118132173913041,0
SI6074,MJB397,7,C3/6,Pandanus sp.,-27.5,-29.832000000000001,-29.832,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,6,100.48139978260869,0.2118132173913041,0
SI6075,MJB398,7,C3/6,Pandanus sp.,-26.6,-28.932000000000002,-28.932000000000002,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,6,100.48139978260869,0.2118132173913041,0
SI6076,MJB399,7,C3/6,Pandanus sp.,-26,-28.332000000000001,-28.332,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,6,100.48139978260869,0.2118132173913041,0
SI6077,MJB400,7,C3/6,Pandanus sp.,-27.5,-29.832000000000001,-29.832,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,6,100.48139978260869,0.2118132173913041,0
SI6078,MJB401,7,C3/6,Pandanus sp.,-25.4,-27.731999999999999,-27.732,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,6,100.48139978260869,0.2118132173913041,0
SI6079,MJB402,7,C3/4,Pandanus sp.,-25.6,-27.191000000000003,-27.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6080,MJB403,7,C3/4,Pandanus sp.,-24.6,-26.191000000000003,-26.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6081,MJB404,7,C3/4,Pandanus sp.,-25.6,-27.191000000000003,-27.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6082,MJB405,7,C3/4,Pandanus sp.,-25,-26.591000000000001,-26.591,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6084,MJB407,7,C3/4,Pandanus sp.,-25.6,-27.191000000000003,-27.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6085,MJB408,7,C3/4,Pandanus sp.,-25.4,-26.991,-26.991,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6086,MJB409,7,C3/4,Pandanus sp.,-26.9,-28.491,-28.491,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6087,MJB410,7,C3/4,Pandanus sp.,-27.2,-28.791,-28.791,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6088,MJB411,7,C3/4,Pandanus sp.,-25.6,-27.191000000000003,-27.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6089,MJB412,7,C3/4,Pandanus sp.,-27,-28.591000000000001,-28.591,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6090,MJB413,7,C3/4,Pandanus sp.,-25.8,-27.391000000000002,-27.391000000000005,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6091,MJB414,7,C3/4,Pandanus sp.,-24.9,-26.491,-26.491,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6092,MJB415,7,C3/4,Pandanus sp.,-26.6,-28.191000000000003,-28.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6093,MJB416,7,C3/4,Pandanus sp.,-26.1,-27.691000000000003,-27.691000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI6094,MJB417,7,C3/2,Pandanus sp.,-27.9,-29.491,-29.491,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6095,MJB418,7,C3/2,Pandanus sp.,-26.4,-27.991,-27.991,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6096,MJB419,7,C3/2,Pandanus sp.,-25.7,-27.291,-27.291,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6097,MJB420,7,C3/2,Pandanus sp.,-26.8,-28.391000000000002,-28.391000000000005,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6098,MJB421,7,C3/2,Pandanus sp.,-27,-28.591000000000001,-28.591,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6099,MJB422,7,C3/2,Pandanus sp.,-25.7,-27.291,-27.291,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6100,MJB423,7,C3/2,Pandanus sp.,-26.5,-28.091000000000001,-28.091,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6101,MJB424,7,C3/2,Pandanus sp.,-25.4,-26.991,-26.991,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6102,MJB425,7,C3/2,Pandanus sp.,-27.8,-29.391000000000002,-29.391000000000005,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6103,MJB426,7,C3/2,Pandanus sp.,-25.6,-27.191000000000003,-27.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,2,100.66276114285714,0.03045185714285838,0
SI6104,MJB427,7,B3/5A,Pandanus sp.,-26.2,-28.532,-28.532,0.21732323437500034,0.4346464687500007,0,Phase 7,NA,NA,NA,NA,0
SI6106,MJB429,7,C3/4A,Pandanus sp.,-25.3,-26.891000000000002,-26.891000000000005,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4A,100.599319,0.09389400000000118,0
SI6107,MJB430,7,C3/4A,Pandanus sp.,-26.1,-27.691000000000003,-27.691000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4A,100.599319,0.09389400000000118,0
SI6108,MJB431,7,C3/4A,Pandanus sp.,-26.1,-27.691000000000003,-27.691000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4A,100.599319,0.09389400000000118,0
SI6109,MJB432,7,C3/4A,Pandanus sp.,-24.5,-26.091000000000001,-26.091,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4A,100.599319,0.09389400000000118,0
SI6110,MJB433,7,C3/4A,Pandanus sp.,-25.9,-27.491,-27.491,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4A,100.599319,0.09389400000000118,0
SI6112,MJB435,7,C3/4A,Pandanus sp.,-25,-26.591000000000001,-26.591,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4A,100.599319,0.09389400000000118,0
